AirBit Eips,,,,,
,轻量版,标准版,企业版,,
企业集成模式(EIP),√,√,√,,"路由控制: Content-Based Router等
消息转换: Message Translator等
错误处理: Dead Letter Channel等"
连接器生态,√,√,√,,"支持协议: HTTP/HTTPS
支持服务: Kafka, Pulsar, AWS等"
触发器,√,√,√,,轮训、定时任务、MQ、WebHook
JSON DSL,√,√,√,,
AI自然语言转DSL,×,-,√,,
数据格式与类型转换,√,√,√,,"支持类型转换: 自动类型转换
支持数据格式: JSON, XML, YAML等"
,,,,,
AirBit Guardrails,,,,,
,轻量版,标准版,企业版,,
可编程围栏,×,×,√,,"定义讨论话题限制
强制输出风格和结构
拦截危险内容
执行条件操作"
输入与输出 Rail 类型,×,×,√,,分类保护逻辑：输入、对话、输出
多种 围栏库与插件,×,×,√,,越狱检测、内容审核、事实核查等
RAG 与事实一致性,×,×,√,,验证生成内容与知识的一致性
流式输出支持,×,×,√,,保证安全检测与低延迟响应
多模型与多框架兼容,×,×,√,,支持主流 LLM 包括 GPT 系列、LLaMA-2 等
微服务架构与性能优化,×,×,√,,支持 GPU 加速、并行策略执行
,,,,,
AirBit MCP Gateway,,,,,
,轻量版,标准版,企业版,,
MCP 路由管理,√,√,√,,功能点: 解析请求、多后端支持、工具路由
工具注册与管理,√,√,√,,功能点: 工具注册、版本管理、Prompt 管理
,√,√,√,,企业价值: 工具可控、规范化管理、支持审计
协议桥接,√,√,√,,功能点: REST、gRPC、CLI、SSE等协议转换为MCP
会话与上下文管理,√,√,√,,功能点: 多轮对话、会话隔离、生命周期管理
,√,√,√,,企业价值: 保证对话一致性、防止信息泄漏、支持并发安全调用
安全钩子,√,√,√,,功能点: 权限校验、策略集成、敏感操作拦截
可观测性钩子,√,√,√,,功能点: 调用日志、Trace、性能指标采集
,√,√,√,,企业价值: 支持审计与合规、运维监控、事故复盘
,,,,,
其他,,,,,
,轻量版,标准版,企业版,,
告警,√,√,√,,支持钉钉、企微、飞书、邮件
告警通道定制,×,-,√,,
,,,,,
支持,,,,,
,轻量版,标准版,企业版,,
邮件支持,√,√,√,,
专属和及时的 bug 修复,×,√,√,,
专属的使用咨询,×,-,√,,
专属的扩展开发咨询,×,-,√,,
优先排期新功能,×,-,√,,
电话支持,×,-,√,,
实时聊天支持,-,-,√,,
支持有效期,×,1年,√,,
咨询工单数量,×,√,√,,
扩展开发方案支持,×,-,√,,
首次响应时间,×,24H,4H,,
×,不支持,,,,
√,支持,,,,
-,付费支持,,,,
